Comment,label
biar kena korona nnt ga tolong tinggal d kasih tau pd ngeyel ya,netral
henti henti nya mati positif woe sadar himbauan masarakat orang nonton berita solusi karna sebar sebab jalur terbang daerah maunpun asing mas buka mas nyebrang daerah daerah jawa sulewesi bal papua kalimantan lombok perintah biar masuk butuh pokok manusia larang masuk nyawa anggap reme negara italia pemerintaah rakytanya anggap reme ratus mayat kubur karna rumah sakit alat bantu napas sedia sehingha mati kena ribu indonesia ikut italia keri alat bantu napas ribu ratus ribu korban sanggup jln lockdown daerah biar masuk butuh makan lambat presiden,negatif
ga bahaya bilang bahaya,negatif
kenapaaa indonesiaa kebijaksanaaan pakai masker kenapaaa lihat negara negara merekaaa pakai masker menhindari tular please dech masker,netral
umum resmi perintah ind warga ind infeksi positif corona tgl orang tgl selang wktu,positif
inisiatif virus bahaya lockdown biar ga tular,netral
sampah jakarta tolong isolasi senayan jaga jaga corona nya bekas masuk wilayah jabar detik kirim nya virus d situ nongkrong polisi bubar hadeuuhhh,negatif
covid cucitangan wudhu o ollahraga,netral
mati ya mati aja pegang kunci sorga takut virus corona,negatif
suruh masyarakat antisipasi tp negara lock down gmn,negatif
data nya update data daerah blum masuk contoh sulawesi selatan mati salah pasien positif nya udah tinggal tgl maret hasil lab tanggal maret jenasah laku kena odp makassar tingkat,positif
santuy badai lalau istri hamil moga aja ga,positif
jawa manado jakarta gubernur anies baswedan peduli wabah alat deteksi beli pakai uang anggar daerah nominal tahu check terus,netral
detik indonesia dapet ranking persentase mati corona dunia total positif mati makasih menkes juara,positif
jokowi indonesia lockdown,netral
tinggal sembuh sih kacau banget borok rejim jokowi tingkat layan sehat beton mulu otak,positif
