Username,Comment
Kim Jong Un,"Kenapa Persentase Kematian Di Indonesia Tinggi Dari Negara Lain ?Jawabannya Cuman Satu...!Gak Disiplin...!!Dikasih Libur Malah Tamasya...Nongkrong Jalan Terus,biar dikata gaul...Sok kuat dan takabur,malah menganggap enteng sebuah wabah,gak sedikit mulut2 yang berkata ""Indonesia santuy dan Barbar"",Alhasil penularan semakin merebak ditengah kurangnya peralatan medis untuk menditeksi siapa saja yang kemungkinan terpapar."
Denis Kuncoro,Lockdown
Agung ajah,Jangn pda bandel ikuti anjuran pemerintah
Muhamad Haidir,Bohong...Semua data jumlah di lapangan lebih dari itu...
jejak anak kampung,Masih kurangkah korban yg berjatuhan hingga sepertinya sangan berat untuk melakukan lockdown.......Walau berat tapi apakah nyawa ini tidak lebih berharga dari hal lainnya ....
kadek juni,"Terimakasi Pak Achmad Yurianto atas informasinya, Semoga sehat selalu! GBU to all and stay safe!"
rio 666,Inti nya jangan di lock down....Kalo di lockdown banyak yang terhindar dari Corona....Malu gengsi sama kadrunBiarin aja pada tertular dulu kan pemerintah dah beli obat nya..
honey bee,Nambah trs
Fayyadh Atsil,tindak tegas orang-orang yang menaiki harga masker
Harry Kurniawan,"Sehat itu mahal ,selalu jaga kebersihan agar tetap sehat"
tukang komen,"apa yg telah dibangun dan ditata manusia dibumi sedemikian rupa agar sesuai keinginan manusia hancur  seketika, hukum alam tetap nomor 1."
Renee Melly,tes nya bayar pak 🙈
Sean Frederic,Kasihan Bapak ini selalu mengabari berita buruk
Ash 21,Udah tiba masanya panggil mbak dukun
arie junaidi,"Welcom to Indonesia segala aturan dilanggar wkwkwkkk, imun manusia di usia muda itu sangat bagus dibandingkan imun yg sudah tua dan komplikasi, jika ada jegala call center lebih baik isolasi diri jaga kesehatan jangan lupa pake masker jika umur anda masih muda,itu disebut triase medik mana yg prioritas dan tidak"
apip kurniawan,ga pake masker pak
Jay Jay,Ya alloh pidah kan lah virus corona dari indonesia ke dalam lautan yang dalam
Yoko Dwi,saya pasrah karna saya kerja d proyek  atau d lapangn..dan ga da pilihan untuk perut ttp kenyang.semoga kita semua selalu dalm lindunganmu ya Allah....amin amin yarobal alamin
コエズMahendra Ruhendi,Wow 10%!? malu ah buat orang2 yg keluar klo gk perlu2 banget
Asep Surasep,Patuhi pemerintah tapi pemerintah ga Lokdwon percuma.. coba dari awal kaya negara2 tetangga Langsung Lokdwon.. mungkin ga banyak korban
BILLIONAIRES CHANNEL,"selagi ngak ada lockdown dan pengawalan ketat dari polisi dan tentara kasus akan terus bertambah pak, suruh warga asing pulang dulu semua pak, di malang ramai pelajar bisa sebab penyebaran pak.. dimalang orang keluar kaya ngak ada virus menular pak... 😇"
Mariko Susilo,"Jubir na hebat gk kena2 corona . Mkn apa aja tuh...,😂😂😂"
Mimin Karmila,Sosialisasi dokter masuk rumah . Pemeriksaan masyarakat. Biar cepet tenang masyarakat. Jangan nunggu yg datang ke RS  karena terlanjur sakit.
otong nya agung nugROHO,first berita
Heiz Galla,Gratiskan harga cek corona dong
itachi uchia,"Yang ngomong orang ini mulu , dimanakah menkes saat ini yang dulu bilang corona bisa sembuh sendiri,,??? Kenapa sekarang ga nongol, setidaknya ikut dampingin lah buat kasih info, lah ini ga muncul sama sekali , trus kerjanya menkes itu apa,, ???"
finny aprillia,"Mari smua angkat tangan luang kan wktu sejenak untk membaca Al-fatihah,,,,amiennn smoga berlalu msa sulit ini tolong pemerintah perhatikan rakyat kecil ini yg punya persedia'an terbatas terutama dlm kebutuhan pokok"
Ichsan Lawliet13,masker gratis and sanitizer bos
Wisnu Ap,"Menurut saya ini salah di awalnya, kalau sedari awal udah distop perjalanan masuk dan keluar negeri saya rasa tidak akan mewabah di Indonesia, kalaupun ada pertemuan penting lebih baik vc an aja antar negara kan bisa :(("
Grande Grande,Di tempat aku masi banyak orang ngumpul ngumpul
Gajelas Banget,INDONESIA DI LOCKDOWN AJA PAK TOLONG BANGET PAK DILOCKDOWN AJA PAK KALO GINI TERUS MAH GA NGARUH PAK MALAH TAMBAH BANYAK. UDAH TAU ORANG INDONESIA PADA BATU BATU .
jds official jds,Takut kok sama virus
rochayani surni,"Kawan2 se Indonesia.. tlg lebih berhati2 semasa bergaul dg org lain.. jangan anggap enteng covid 19 ni, tak blh terlalu berharap dg pemerintah.. mulakan isolasi diri dulu, sentiasa cuci tangan dg sabun 20 detik sekerap mungkin"
afdoli nasution,"Bapak cerita sosial distancing, itu mall2,tempat keramaian  cuma dianjurkan, diharapkan. Sekali kali presiden tegas donk. Jangan buang badan ke kepala daerah saja"
Lusiana Saputro,Tuhan memberkati kpd presiden dan pemerintahanya.yg penting kita mempunyai kesadaran demi keselamatan diri dan dan bangsa.semoga cepat teratasi dan keadaan ekonomi Indonesia cpt stabilAmin........
Sri Astutik Astutik,Di  Malaisia hanya 10 orang aja Indonesia yang ter banyak  49 orangIndonesia kurang disiplin
Fatima Taher,Selisih 3 orang dgn saudi
Heria Music,"Pemrintah kurang gimana udah baik pencegahan Covid-19 ,, nyuruh di berhentikan kegiatan social ,, sampai bekerja, tapi gimana nasib para pegwai pabrik ? Malah di langgar aturan nya masih aja ttp produksi dan pada kerja padahal udah di kasih surat edaran dari pmerintah untuk di berhentikan dulu , kalo virusnya bisa nular ke warga situ atw keluarga nya sendiri bahaya,, boss nya ga mikir nunggu karyawan nya positive kali,, gikiran udah pada kena baru nyalahin pemerintah ini itu,, kan yang setan warganya sendiri"
agung sdayu,Pantas jd mentri kesehatan
Ninik Srirejeki Hs,"Ini untuk Jakrta saja yaa? Kami yang di daerah lain, tidak ada informasi  update langsung dari pemda setempat, gimana nih!!"
Nurul Ch,Semoga pandemi corona ini segera pergi dari indonesia. Yuk jangan apatis. Kita harus bekerja sama untuk memutus rantai penularan. Sehat kembali indonesia ku. Amin.
Anmar,"Kesadaran masyarakat masih kurang baik, sehingga virus ini trus bertambah. jangan menyalakan pemerintah, pemerintah sdh berupaya untuk mengatasi musibah ini,  Baiknya kesadaran dari diri kita sendiri, Utk tdk melakukan aktivitas yg berisiko besar terjangkit virus ini."
honey bee,Kebanyakan di Dki jakarta
Wayank,corona bukan hanya di indonesia saja mari sama sama saling bantu menanggulangi wabah corona supaya cepat teratasi
Hawa Rasta,Terlalu lebay
sudirno slamet,Terima kasih pk.trus update setiap harinya.sehat sehat pk
No Name,"""Pelajaran SMP utamakan kepentingan umum di atas kepentingan pribadi,, pelajaran agama Islam,, utamakan pahala yang banyak dgn menolong orang tapi jangan lupa pula untuk menolong diri sendiri"""
No Name,"""Pelajaran SMP utamakan kepentingan umum di atas kepentingan pribadi,, pelajaran agama Islam,, utamakan pahala yang banyak dgn menolong orang tapi jangan lupa pula untuk menolong diri sendiri"""
Oedieyn Rst,Jakarta udarnya jauh lebih baik dengan adanya corona.
Arief Prabowo,"Pak apa orang yg financial nya kurang seperti saya harus mati karena COVID-19? Jujur pak, saya tidak mampu untuk membeli masker dengan harga 50rb/lembarAtau untuk membeli antiseptic seharga 120rbKemana keadilan untuk kami pak?"
Fardinza Machmud tosapati,Wah 1/11 cuy untuk kasus di indonesia saat ini.... ada tuh Channel Si Logika AA yg rancu....wakwkawka jadi pengen nampar tuh statement pake ini bukti !
WandiMillah 161119,Kami Di pasar untuk kalian..Kalian dirumah untuk kami..Mari kita lawan covid 19 bersama..
Baday dahsyat,jgn membedakan yg skit pake masker yg sehat ga prlu..org skt akn minder pake masker..hrsny d anjurkan yg sht n yg skt pke msker bgt bego..
edy prikitiw,"Bagi yg punya duit santui. Bagi saya rakyat miskin kerja sejari buat mkan sehari.  Jika kita di larang begini begitu.  Bagaimanakah kita bisa, bisa makan. Pemerintah mohon pengertian nya."
imas fatonah,"Innalillah..Semoga segera lockdown..Ayo teman semua isolasi diri, diam di rumah, keluar apabila ada keadaan mendesak, itu semua demi kemaslahatan bersama."
adhy bL,"Flu burung vs DB = corona????Karena sma2 gejalanya...China Corona=kejang2, demam, batuk...Indonesia corona=sakit2.n dri dlu ,kurang istrahat/penyakit lansia, tertidur diatas motor/ beku...."
MELISAY - ASMR,Selamat malam pak.Saya berdoa bapak sehat selalu.Saya suka bapa berpidato tanpa melihat teks dan menenangkan kita .
JAVA SPOTLITE,YG PENTING JANGAN PADA NGEYEL...
Anime JP,Gws world
Bambang Tondo Suroso,"Isolasi diri di perum cirebon malah dicemooh diketawain  shalat dirumah malah diketawakan orang"" dibilang berlebihan ,kenapa karena MUI Cirebon menganjurkan shalat berjama'ah tetap dilakukan di masjid  shalat jum'at tetap dilaksanakan dimasjid pengajian masih jalan terus banyak yang bilang jangantakut corona klo takut sama Allah ,penyakit yang buat Allah berlindunglah di masjid . Begitulah gambaran isolasi diri di cirebon belum sepenuhnya dilaksanakan ."
Nofian Ade Komara,nasib sebagi kurir
Hari Yanto,"Gue pengen denger komentar dari tokoh2 pemerintah yg kemrn bikin joke terkait corona. Netizen yg kemrn bilang ,"" Orang indonesia kebal virus corona ""  sekarang mau komentar apa? Semua sudah izin Allah. Manusia sombong dikit saja, FATAL. Semoga Allah mengampuni Indonesia. 🙏"
karis DN,"Hanya berharap angka trakhir gk smpe 700 . Jangan andalkan pemerintah . Kita harus menjaga diri kita sendiri serta keluarga . Minum vitamin , jamu , rempah berjemur , jaga kebersihan . Berat sih tapi cuma diri sendiri yg bisa mmerangi . Ayo kita perangi ."
ՏHEγLᗅ MᝪZZᗅ,klo gak mau seperti iran dan italy patuhilah himbauan pemerintah.
Djonny Simarmata Ir. Msc,Ok kalau udah bgini brarti udah banyak yg kena brarti dah banyak yg kena kemungkinan lebih dari seribu...pasokan obat amanin...karena beberapa jenis obat bisa meredakan gejala..search aja di media seperti utub....contoh spt ibuprofen n tylenol preferrably
Muhammad Haris,"Kompas sama tv one sama sama muncul, mana data yg akurat ini 🌻"
Jay Wheels,Pikiran di hari-hari sekarang sudah berasa dalam film-film. Seakan dipaksa menebak-nebak bagaimana akhir semua ini.
night stalker,Auto ribuan yg kena
Jejak Bujangan,"Dengerin dan patuhi apa yang pemerintah katakan demi meminimalisir dan mencegah corona, jangan jadi umat dungu sok kuat, sok berani, bawa"" nama tuhan tp pas kena corona dan mati keluarganya menyalahakan pemerintah.karena udah banyak umat dungu yang sok sekali seolah pandang enteng dengan virus ini, waspadalah dan saling mengingatkan dan jangan jadi umat dungu."
Maksima Betaubun,"Hebat Pa Ahmad, yg terpenting kewaspadaan dini dari masyarakat ttg apa yg sudah edukasi oleh Pemerintah dan jajarannya.haraoan Media dan Nitisen membantu mensosialisi yg baik dan benar .bukan membuat hoax membingungkan masyarakat..."
Connect Everyone,Adzab
Satria Bontet,"kasus udah 500 lebih..yg suspek pasti udah ribuan lebihhhh......pemerintah2...kok lambatttttt.,kalo udah puluhan ribu makin repot lhu mantaunya......"
Dhanys RGK,Dettol kosongAlkohol kosongMasker kosongHand sanitizer kosong
ulala ulili,Coronaa pergi lah engkauu
Alex Budiman,Ayo indonesia be smart... Stay @homeJaga jarak...
Yetri Fangie,"Ya Alloh,masih banyak orang Ind yg meanggap virus ini dg remeh?padahal kecuali banyak doa kita jg hrs tetap ikhtiar dg mematuhi apa yg pemerintah intruksikan,semoga Allah menolong bangsa Ind ini dg Rahmat dn kasih sayangNYA,Aamiin"
Satrio Wirang,"Apapun virusnya, presiden ama menkes nya gk usah tampil!!!. Gk mutu blas."
The Old Fashioned,"Tiap hari elu nongol bawa berita buruk, update pasien betambah.Bsk loh blm terjadi, tp gua udh bs tebak pst elu nongol lg bsk dan bawa berita update pasien meningkat lg ya kan ?Lusa gt lg, smpe berminggu2 bahkan berbulan2.Trus solusi nya ap ya pemerintah ?"
Ginajaya Mandiri,"In fact, Knapa case d indo terus nambah?, thts mean baru keperiksa, sblumnya kn blum bsa tau (bhkn smpai d rgukan oleh WHO), nah bisa d bayangkan itu total per tgl hari ini 22/3, yg baru ktahuan (alhamdulillah), bisa kemungkinan terus nambah loh (ini yang paling terbaik yg tlah dilakukan oleh pemerintah), kalau warga indo tidak turut ikut serta membantu pemerintah, tolonglah saling bantu membantu sebelum semuanya terlambat, we fight this virus all of us, remember ini belum terlambat, note : oh iya bagi yang baca kalau kalian lagi flu, batuk, harap social distancing, trus kalau mau buang *Ludah / ciduh"
Rosidah abdurasyid,Orang indonesia kebanyakan sombong2 bilangnya gk takut sm corona lbh takut sma allah. Emg siapa yg gk takut sm allah tp kesehatan jg penting ikutilah aturan pemerintah jgn pada ngeyel2
Gombal Mukiyo702,"Akun cloning, buzzer, dsb warisan pilpres dan pilkada DKI kok msh byk aja di kolom komen ini??? Apa YouTube ini ga bs ya screening akun2 ky gn???"
Mrifkyprayudha Yudha Rifky,Kayanya ketauan corona pas orang depok sebelumnya kayanya udh ada corona pikiran ki
Sembung bbm1,Persentase kematian 2% ternyata cuma huaks.
Hariyadi Yadi,"Dengerin tuh,para manusia bebal.mati memang di tangan tuhan,tapi kalau kalian tetap bebal dan tidak nurut,bukan hanya anda yg  kena.tapi orang lain juga kena.kalau mati,mati aja sendiri,jangan ajak2.semoga kita semua di berikan kesehatan,dan ketabahan"
Abu Subani,Siapa yg tau umur dari beberapa korban yg meninggal.. umur nya paling muda itu berumur berapa..
Hamid Abachan,YA ALLAH... SEMOGA VIRUS KORONA SEGERA BERLALU DARI BUMI KAMI SEBELUM RAMADHAN TIBA... DAN SELAMATKAN serta JAUHKANLAH KAMI DARI VIRUS MEMATIKAN INI....
Erlangga Alamsyah,Disruh drmh aj sush amat
azelya burgerkill123,Makin banyak aja yg terkena virusnya😭😭
YtBrash Alone,"Semoga virus corona cepat berlalu dan tidak meresahkan manusia lagiini sudah tingkat darurat,kita harus sama sama menjaga kesehatan kitasering sering cuci tangan pakai sabun,biar selalu bersih dan sehatperbanyak makan makanan vitamin,seperti buah buahan,sayuran dll"
s - Tube,Takut aja kalau perjalanan kematian ini gak ada yang nemenin keluarga pun gak bisa apalagi teman . Hanya perawat yang mendampingi sampai sembuh atau. Meninggal mikir juga siapa yang mau takziah yang mau nguburin 😢😢😢😢😢😢 oh ya Allah angkatlah virus ini ya Allah sebelum Ramadan 🤲🤲🤲🤲🤲
Danil St,"Saya WARGA JAKARTA .... SAYA CURIGA SAYA INFEKSI CORONA,,DADA SAYA SAKIT.... TP KENAPA HARUS BAYAR SAAT CEK DIRUMAH SAKIT.. USAHA SAYA LAGI SEPI PAK BELUM LAGI KANTOR PADA TUTUP.... SAYA BERHARAP PEMERINTAH JAKARTA BS MEMBERIKAN SOLUSI... BUAT MASYARAKAT KE BAWAH DIGRATISKAN....  SEMOGA PAK JOKOWI     BACA COMENT INI"
rico raikkonen,"Klo positif tp cm sakit ringan,lalu diminta isolasi diri sndiri di rumah, itu yg berat....kalau tdk ada bantuan dr keluarga....ini jg sulit krn harus menjaga jarak....sy lihat d Wuhan kluarga pasien positif harus menggunakan APD lengkap.... Apa bisa kita sperti itu?"
Denisa Eliadrin Viantinus,"hari ini masjid2 di sekitar saya penuh orang ada tabligh akbar, kenapa DKM nya atau panitianya tidak peduli sama ini"
ery kubu,Dimalaysia 10 yg meninggal dn skrng smua org diliburkan slama 2minggu dn ttp brada didlam rumah.tpi dinegaraku diliburkan malah pergi liburan emmm pihak berkuasa pun langsung tak memberi tindakan
farell arthur,"Udh deh masyarakat kadang bandel masih belum aware betul, klau penting boleh keluar rumah tp klau sekedar jalan” plis jgn. Kalian yg sehat itu bisa jadi carrier buat penyakit dan nular ke mana”. anak” muda ngopi dan sebat lanjut terus kan gada otak."
Nenik Marantika,"hallo warga indonesia, kalian mayoritas pasti orang islam dan melakukan sholat, jadi banyak-2lah berdoa dan memohon kepada allah agar virus ini cepat hilang di saat bulan ramadhan.."
TERNAK KETOMBE,Konsultasi harus bayar mana mahal....
refdiano tio neldhy,"please dong update yang meninggal nya yang jelas , apakah betul betul meninggal karena covid-19 atau bukan ? soal nya banyak berita yang meninggal baru sekedar suspect blm positif covid-19 . biar mengurangin rasa panik masyarakat saat melihat angka korban meninggal yang bertambah 🙏🏻"
Bayu Wicaksono,President RI 2024-2029
Rizky Maulana,hari ini brp ya?
Tulus Nurma,Y alloh...smoga buln suci romadhon corona clear dan hilng agr ibadah puasa dan trawih lncar dan tidk dilarang...amien
Anwar syaiful,Tolong dong pak yuri jangan hanya di lockdown negara ini tp kasih solusi buat ekonomi masyarakat secara rakyat indonesia kebanyakan  hidup di kalangan menengah ke bawah klu di sruh di rmh ya ga bisa cari uang buat  makan ga bisa bayar cicilan ...... Tolong solusinya
Untung Aryo,"wspda shabt saudara kita,korona"
Ummu Keezka,"Mau nanya nih. Kl kita punya penyakit bawaan kek bronkitis, kl tiap flu selalu ada sesak napas,. Resiko makin tinggi gag sih?😭"
Agil Raihan,Kok tambah2 terus sih m apa fungsinya di  14 hari itu
Broth3rMAX MAX,"Kenapa tidak di lakukan tes covid-19 masal di Indonesia untuk mengetahui peta penyebaran covid-19 tersebut,  jika ini tidak dilakukan maka penyebaran covid-19 akan semakin besar,"
INDOSAT SUPERMALL,"pak saya keppo di indonesia angka kematiannya tinggi kenapa ya bisa di jelaskan mungkin?, supaya kami warga +62 bisa berbenah barangkali bisa ikut mengurangi angka kematian kasus covid19, soalnya di malay aja udah 900 orang yang kena cuma meninggal 2 di kita 300 an yang meninggal 30 an"
xEDGEx,Yg jadi pertanyaan a.. yg muda positif tapi ga kliatan sakit.. terus qta mau priksa diri qta positif apa ga nya gmn.. sdngkan  rmh skit ga ada yg mau nrima..  nyari masker susah.. Skali a ada mahal..  masyarakat harus gmn..  isolasi diri di rumah.. sdngkan harus kerja di luar rumah.. ga kerja ga makan.. pemerintah mikir smpe ke situ ga..  ngomong gampang.. jalalani a gmn...  Soluisi pak yg kmi butuh.. bukan teori...
Avean Official,"Ini awal mula dispelekan indo gabakal kena corona dll dan penjabat menganggap itu lelucon, dr presiden suruh minum jamu, dan penjabat lain nya. Bukan dicegah tp malah dibiarkan dibuka semua bandara malah cmn dipasang pengecek suhu/termometer. Yg akhirnya heboh 2 WNI positif corona dan sampe skrgpun menambah. Semoga lekas pulih indo. Jgn anggap spele lagi kedepan nya harus gerak cepat!!!"
Dewi Arizzona,"Yaa Allah, semoga semua ini cepet barlalu."
Siti Rojah,Takabur sih tadinya...jadi di uji sama Allah..mana katanya ngejamin indonesia sterill covid 19?jangan mendewa kan diri boss..se olah ingin di istimewa kan oleh (Rakyat )..tapi kalian pelayan rakyat jadi harus nya kalian yg meng istimewa kan rakyat.
Open Mind,"Aneh bin ajaib bnyk negara yg terpapar virus corona tp tdk ada 1 pun para pejabat atau militernya yg terkena corona bahkan sampai meninggal dunia.. AMAZINGRata"" media memberitakan masyarakat awam yg bnyk menjadi korban corona sampai ada yg meninggal.Ada konspirasi apa dibalik corona ini 😇"
Ahmat saiful dani,itu di waduk pluwet jadi per kumpulan orang banyak setiap malam
Titien Tinawati,"sebenernya dari waktu itu (pertama kali muncul) ni virus di indonesia sdh ada dan bahkan banyak. cuma baru2 ini aja terdeteksi dan akhirnya begini.. kasus yg terlapor semakin meningkat.apapun itu semoga ni virus lekas go away, amiin. yg terinveksi lekas sembuh, yg meninggal tdk bertambah dan khusnul khotimah, amiin.. dan yg blm terinfeksi mari saling bantu&mendoakan,  bersama2 melawan virus ini dgn tdk saling menyalahkan, patuhi saja aturan yg ada. jadilah warga +62 yg baik dan bijak, takut memang harus kepada Allah SWT, tp ikhtiar kan tdk ada salahnya.. ya toh?"
Ribka Leana,"PROTOKOL KEDATANGAN NYAMPE DI RUMAH DARI BEPERGIAN  :1. Berjemur Matahari di halaman rumah2. Buka sepatu di depan pintu, sebelum memasuki rumah.3. Tuangkan/semprotkan alkohol desinfektan pada sepatu tsb"
Sthe_innera Btsxarmy,"Semoga bapak achmad sehat slalu ya pak, saya tau kok bapak lelah tiap hari harus muncul dpn layar dgn topik yg sama dan berita bahkan bkan berita baik setiap harinya, sehat sehat buat org org yg berdiri paling depan d gardu kesehatan"
Amd 7680,"Semakin parah jadi takut saya kerja di bagian pendaftaran kesehatan setiap saat berhadapan dg pasien, tolong dong pemerintah untuk diliburkan juga."
I Me Myself,Stay at home..Borong bekalan bahan pokok/makanan yg banyak. Tinggal diam di rumah selama 14 hari.Semoga berhasil.
Albert Setjodiningrat,Kami berdoa utk.tim. medis:perawat .dokter tenaga tehnisnya tim pelayan kebersihan dan peyexia makanan semoga diberikan kesehatan krkuatsn fisik selalu diberkati Tihan Yang Maha Esa dan panjang umur sehat walafiat dlm. menjalankan tugasnya Amin
Arsha Fa,"Pemberlakuan peraturan sosial distance,, trus bagaimana nasib para pekerja lapangan seperti supir, kernet supir truk, para ojek online, dan pedagang kaki lima... Kan mereka ttp harus mencari nafkah untuk keluarga ny???  😢suami saya kerja nya kernet supir truk,,.. Di saat yg lain diam di rumah,  suami saya malah mengirim barang ke tempat""yg kasus Corona nya bnyak...  😢😢😥 tolong perhatikan rakyat seperti kami"
Balqis nafisah,"Bagaimana masyarakat yg disuruh dirumah semntara banyak yg hrs dibayar apalagi yg ada pinjaman di finance atau bank,apa solusi pemerintah untuk hal itu bg  yg gak punya ,coruna memang sangat perlu penanganan serius tapi ada yg lebih serius urusan perut,gak kena Coruna akhirnya kena lambung dan busung lapar"
Badra Kawedar,Usul di infokan :1. Menjaga jarak 1 sampai 2 m.2. Semua orang di wajibkan menegur     bila melihat orang brdempetan lebih 
AMBURADUL CHANEL,Kata nya Sudah bekerja tapi nambah mulu..? Apa yang salah..?
lucki,Scrining test bayar 1juta...
cantik lusiana,"Tolong yg punya keluhan gejala2nya, meski ringan, usahakan isolasi diri. 🙏"
al dias,"Cari di klinik masker udah pada habis, gmna nih pak 😥😥"
Buna Kopi,INILAH AKIBAT IDEOLOGI DIATAS DARI AGAMAMAKAN TUH IDEOLOGI
Bayu ozt gamers,Hallo bapak2 pemimpin
Iwan Aldi,M
Ardaman Damang,semoga virus china ini lekas  lenyap dari bumi indonesia.Aamiin
lukman hakim,"Banyak yang sok pinter sekarang comment pemerintah gak tanggaplah gak ini lah tapi kebanyakn yang koment masih keluyuran Sana sini kayak kelelawar, iya mungkin pemerintah salah gak langsung lockdown terus APA iya mau menyalahkan pemerintah terus sedangkan Kita diperintah jangan keluyuran masih saja keluyuran waras ?"
Klinik Ponsel Sentana,"Pemerintah terlalu sombong....indonesia kebal corona...giliran kena,bingung ngadepin nya"
Nyonya Sygit,Please lock down jakarta😦
Agus Feraerelio,Aslkum... Mudah2an untuk Penanganan virus corona... CEpat selesai.... Amiinnn... Saya minta juga tidak hanya virus corona yang ditangani... Spt virus hepatitis b juga seharusnya diperluas penangannya... Bagi org yg ga mampu sangat sulit untuk berobat.... Karena kondisi rs.nya yang jauh... 🙏🙏🙏
Hezekiah rt,"Kok badan gw anget tp cmn di area jidat sama leher doang ya, apakah sistem imun ku sedang melawan corona"
CNT 0611,"Tolong kepada Pa Hub NTT tutup benerbangan. Kasian Kami org"" NTT kekurangan RS dan Tenaga Medis Dan Kami di atas Rata"" Miskin jadi klau mau Berobat bayar pake apa, Sakit Biasa ajja kami selalu Berobat Tradisional.apa lagi Covid19 .bisa apa nanti."
arif fahrudin,"Kalo rakyat dan negara sehat,pasti pendidikannya maju,aman dan tentara nya kuat.tapi sebaliknya klo rakyat sakit semua jadi ikut sakit.karena itulah kesehatan penting ,dan semoga kedepan pemerintah akan mengatur dunia kesehatan semakin baik"
asdfghjkl zxvvbnmqwertyuo,"Ayo yaahh sakit atau ngga sakit semuanya harus tetap di rumah aja, ga ush keluar klo ga perlu. Jaga jarak terus sama yg lain. Yg tetap kerja, abis kerja langsung pulang ngga usah singgah2, tiap keluar dari rumah datangnya langsung cuci tangan dan ganti baju. Semangat!"
Tuan Taruna,Ayo.bahu membahu..gotong royong...agar kita terbebas dari corona..cuma butuh kebersihan..dan disiplin...
Herlangga 86,Barangkali disni ada anggota polres saya cuma hinbau segera tutup pembuatan sim karna disitu ada persyaratan sidik jari dan tempat sidik jari di pake secara bergantian. Harap segera tutup dahulu. 🙏🙏
mbah _glayok 17,Sebenarnya virus ini gak begitu bahaya kalau diliat dari kematianya karena virus ini dapat mati ketika IMUN kita kuat kalau IMUN kita lemah PERCAYA KEPADA YANG KUASA.patuhi pemerintah jangan keluar rumah insya allah bulan april virus sudah musnah.
Takeshi kZiem,Percaya dengan tuhan aja atas kesehatan yg kita dptkan... Jgn terlalu berfikiran tkut akan kena.. krna itu yg membuat batin dan jasmani kita jdi down...percya lah pda tuhan masing2 yg kalian jlini agar selalu di berikan kesehatan
Mirasantika a,orang Indonesia ini susah di atur di beri peringatan di bilang jgn keluar masyarakat malah pada berkelompok kelompok dgn anaknya suaminya bersama sama tetangganya ngumpul ngumpul gak mau jaga jara apa lagi gak pakai masker lagi
Suyanto Yanto,Negri tidak berdaya. Dlm segala hal .korona bertambah retorika politik pembodohan rakyat makin nampak .baser rezim asbun berkumpul untuk memuaskan tuan presiden .biarlah rakyat terkapar yg penting perut penguasa makin mekar.
sri sumiyati,saya yakin pemerintah sudah bekerja keras..oleh krna itu patuhilah apa yg dianjurkan pemerintah..tdk bersalaman bukan tdk menghargai tp menyelamatkan..jaga jarak bukan  menjahui tp antisipasi...ayo saya yakin indonesia bsa melalui cobaan ini..smgat saling bersinergi demi semua agar terhindari...serahkan semua pd kekuatan illahi.
Suryo Supraptono,"Waspada, sabar dengan tetap berusaha menjaga diri serta berusaha mengatasisi Covid-19 adalah salah satu bentuk tawakkal kepada Allah. Yang terpapar, sembuh dan meninggal adalah sudah sesuai dengan sunatullah. Semoga saja yang meninggal sudah banyak amal-baiknya dan walau bagaimanapun kedaan dan kesalahan kita Allah Maha Pengampun seluas langit dan bumi."
ari taopik,"persentase korban meninggal yang begitu tinggi. (kontra produktif) dengan dulu yg  santuy bgt sampai sewa influenser terkenal buat promosi in pariwisata indonesia di tengah wabah corona wuhan. tapi ya sudahlah nasi sudah menjadi bubur, mari kita semua bantu pemerintah untuk memutus rantai penyebaran virus ini, dengan tetap dirumah,rutin cuci tangan, menerapkan pola hidup sehat, tidak panik dan tidak ragu menarapkan sosial distancing untuk yang masih bekerja diluar."
Surya Babenk,"+62 itu ngomongnya mudah. Pdahal kenyataanya di lapangan aja masker,handsanitizer dll tau sendiri gimana langkangnya & sekalipun ada gimana mahalnya kan? Harusnya liat kenyataanya dulu jangan mudah ngomong ""PAKE MASKER, & SESERING MUNGKIN MENCUCI TANGAN"""
seno setyadi,Lock down boss...
Winny Nuraeni,Ini  isolasi 14 hari di rumah apa2 di liburin juga masih aja meningkat yang positif malah tiap hari bertambah..gmna ini
Oom Rahmawati,assalamualaikum..bpk mentri kes...klo gakk ada lock down di indo...gmn klo  diadakan tes ksehatan.stiap Puskesmas..rt /rw masing masing.di tes.jgn jkt doang...ini sy khawatir sy berada di daerah  Pangandaran..jawa barat...tdk ada instruksi apapun....sy tkt paaakkk toloonggg...
Wawan E P,Bus dari Jakarta ke Sumbar .di tutup lah pak .tolong kami yang di sumbar
Didan Fathul,"Dengerin ya,kalo mau Lockdown tuh stok makanan nya di kasih sama pemerintah, Karena ada sebagian yg ga bisa nyetok logistik,kalo Lockdown tapi ga di kasi logistik sama sama mati, cuma beda aja jalannya, jadi warga +62 lebih milih mati sama Korona dari pada mati kelaparan."
ЕЯЯОЯ,Kenapa yg mati banyak??? Jadi pesimis gw padahal negara lain dikit banget
Jinx pro,mana itu si Terawan kok ga nongol2
VIP Hotel Cianjur,"Alat tes BIOZEX Covid-19 diperbanyak pak agar kami bisa test sendiri di rumah dan mengkarantina secara mandiri, dan beri petunjuk kami obat apa yg harus kami minum apabila ada gejala tersebut, jangan cuma berita yg terjangkit aja, Bikin kami Stress pak"
Dhany Official,Berita buruk....Tapi pemerintah tidak peka..
